label	sentence1
科技_车科技	强到在F1赛事被Ban掉设计的路特斯 要带着新车杀回来了
科技_区块链	美国特勤局：有关加密货币的投资交易不构成犯罪
体育_NBA	加冕历史三分王！库里正式超越雷阿伦，盘点生涯10大里程碑时刻
汽车_新车	全新MINI COUNTYRMAN谍照曝光 有望年内发布
时尚_时装	明星运动员，离完美时尚代言人有多远？
体育_国际足球	仍任俄超冠军助教并沉默！拜仁巨星被围攻：他已不配称乌克兰传奇
汽车_行业	优步扭亏为盈，需求恢复到疫情之前
政务_反腐	落马干部：老板送我10万不敢收，说“借给你”的就收下了
汽车_新车	采用双液晶屏设计 国产MINI内饰谍照首次曝光
政务_反腐	违纪违法党员干部忏悔录：“理想信念出问题”成最高频关键词
科技_数码	索尼α7R V或将于3月底发布：9500万像素
汽车_行业	大众汽车正考虑在美国生产电动皮卡
政务_反腐	河北涞水县委原书记王义民单次受贿达千万，多次以借为名受贿
时尚_情感	“世界最美面孔”朱珠，国内查无此人在国外却爆红，人生相当传奇
时尚_时装	罗云熙亮相迪奥梦之设计师成都展览开幕酒会 诠释绅士不凡格调
科技_数码	16GB内存的MacBook三年前不卡 现在为何卡了？程序员解答
时尚_情感	一眼沦陷，连刷八集，爽飞
体育_中国足球	冯潇霆巅峰时期年薪1850万！买房增值5倍 去年读了40本书
汽车_新车	未来国产X5L新对手 理想L7路试谍照曝光
政务_发展治理	20省份公布一季度GDP数据，6省份增速跑赢全国
科技_区块链	Salesforce有意推出NFT云服务 瞄准艺术家
科技_区块链	内蒙古法院首次运用“区块链证据核验”审理案件
时尚_情感	情商高的男人，哪个女孩不爱呢？
汽车_新车	雷诺发布Austral内饰预告图 3月8日将亮相
体育_NBA	掘金终结勇士3连胜！约基奇22+18关键盖帽，库里三分球创历史
汽车_行业	 汽车两会｜张兴海：以国家力量推动国产车规级芯片产业崛起
政务_反腐	陕西落马厅官王晓明案细节：收受66人两千两百多万元
时尚_美容	易烊千玺少年魅力的成熟蜕变
时尚_时装	Angelababy优雅大片化身光影下的美人
政务_地方	好品山东丨开往齐鲁新篇章的2022次列车全速前行，一起向未来！
汽车_导购	看懂白车身：您的全家快乐车现已加入特惠套餐
娱乐_音乐	薛之谦“天外来物”海口站正式官宣 星际幻想期待值无限叠加
科技_5G	华为郭平：坚持全球化战略 提升中长期竞争力
时尚_时装	檀健次随性少年感氛围感
娱乐_音乐	阿黛尔官宣新恋情后首现身 男友贴心开车门尽显绅士风度
汽车_新车	宝马iX5氢燃料电池车测试曝光 2022年下半年投产
政务_政策	八部门：逐步扩大高值医用耗材集中带量采购覆盖范围
汽车_行业	2022年开局，谁势头最猛？
汽车_试驾	喜欢驾驶的年轻人，别辜负了工程师的一番苦心
政务_发展治理	“扫码点餐”要先关注公号，方便还是为难顾客？
科技_车科技	李书福还要换电 雷军只要快充
娱乐_电影	《精灵旅社4》发布变身海报 精灵首次变成人 形象反差超惊喜
科技_手机	苹果憋大招：旗舰新iPhone与Mac Fold齐曝光 完美双折叠屏
汽车_行业	崔东树：2021年北京新能源汽车渗透率达22%
科技_车科技	特斯拉回应上海工厂停产：配合防疫要求 努力保障生产
娱乐_电影	Netflix暂停俄罗斯项目制作及收购 《安娜·K》等被叫停
体育_NBA	勇士利好！太阳吞惨败，克莱复出有望率队结束连败+西部登顶
科技_区块链	一个作品拍出5.8亿元！周杰伦试水的这个项目又火了
时尚_美容	哪个品牌的身体乳最好用 十大口碑最好的身体乳排行榜
体育_中国足球	中国女足1300万夺冠奖金到位 水庆霞教练组独享300万
娱乐_明星	好友晒与大小s合照被具俊晔点赞 大s素颜出镜状态回春
体育_国际足球	当切尔西失去阿布，这家百年俱乐部将遭遇什么
汽车_导购	与Z世代同进化 这是一汽丰田卡罗拉的“常青术”
娱乐_电影	《神秘海域》发布“致敬成龙”片段 荷兰弟自曝动作灵感来源成龙
科技_5G	美国5G机场布网“卡壳”  全球5G落地仍面临多重挑战
科技_车科技	意大利计划为电动汽车消费者提供补助 购买24万元的车可获得4万元补贴
体育_NBA	欧文复出！篮网实现大逆转 师弟险搅局
政务_政策	十问延迟退休！“打工人”关心的都在这里
时尚_情感	上斩天王下斩直男！网红脸的核心魅力是尖下巴大眼睛吗？
娱乐_电影	《长津湖之水门桥》票房破40亿 系列总票房已达97亿
政务_地方	5个部分22项重点任务 2022年河北防汛抗旱工作这样干
时尚_美容	150多年的彩妆神话，曾比肩香奈儿，正逐渐被大家遗忘...
汽车_行业	缺芯之年，奔驰如何逆势利润增长近五倍？
体育_中国足球	史诗逆转！补时绝杀！国足3-2力克韩国 成亚洲杯9冠王
科技_手机	进一步看齐苹果：三星确认A系和M系机型不会标配充电器
政务_政策	家庭中劳动者占比不低 延迟退休应考虑照看服务
体育_中国足球	女足亚洲杯决赛：肖裕仪补时绝杀 中国3-2逆转韩国
体育_中国足球	中国女足火出圈！国乒+中国女排发声祝贺 影帝影后盛赞：伟大
时尚_时装	杰尼亚2022冬季系列：从公路旅行中汲取灵感
政务_地方	四川省推进“科技创新巾帼行动” 鼓励科研单位设立女性科研专项
科技_车科技	购买Model 3展车货不对板！特斯拉被判行为不当 却无需赔偿
时尚_美容	什么品牌的眼霜好用 口碑最好的眼霜排行榜前十名
体育_NBA	里夫斯绝杀！湖人加时击败独行侠，詹姆斯24分，浓眉哥20+12
科技_车科技	松下将于2024财年开始为特斯拉量产4680型电池
时尚_情感	被喷又丑又老没演技的她竟搭上顶流男星演女主 难道全凭一张脸？
娱乐_电视	《相逢时节》“领衔主演”变“领街主演” 网友被赞好眼力
科技_数码	再等等！华为2022新品发布会周期曝光：5月平板、7月Mate
科技_数码	苹果无奈iOS 15被破解：漏洞晒出 很快有越狱工具
科技_车科技	小鹏腰斩、蔚来垫底 2月难倒新势力
汽车_试驾	极星2单电机长续航版：差点就能环岛一圈
汽车_行业	2022年北京计划新增推广应用800辆以上燃料电池汽车
汽车_导购	2021天津车展：智能汽车谁家强？看硬件更得看软件
政务_发展治理	三部门发文进一步做好防止因病返贫动态监测和帮扶
时尚_时装	李易峰帅气型男大片
时尚_美容	再多防晒霜也挡不住这个东西！直接进入真皮层
科技_数码	苹果20英寸折叠机啥东西？全触摸版MacBook加iPad
娱乐_明星	名利场||二月有新欢，三月与旧爱又有一女，世界首富专注生娃的18年
政务_发展治理	美丽中国建设迈出重大步伐——各地贯彻落实六中全会精神建设生态文明观察
时尚_美容	青少年适合用什么护肤品 青少年护肤品牌排行榜前十名
体育_NBA	941天后的紧张、凶猛、果决与偷笑：克雷·汤普森，欢迎归来
时尚_时装	李宇春复古摩登风大片
汽车_试驾	一汽-大众ID.4 CROZZ：特斯拉，准备接招了
汽车_导购	又一款国产SUV挑战哈弗H6 传祺GS4的实力不容小视
体育_NBA	我们为什么热爱诺维茨基？因为忠诚永恒
政务_文旅	中土双方调研改善中国游客旅游安全环境
科技_数码	日本光刻胶大厂旗下工厂发生爆炸事故
娱乐_音乐	收编与自我阉割后，中国说唱去向何方？
时尚_情感	亚洲第一男神木村拓哉约会照曝光！网友慕了：啊！这该死的爱情
政务_地方	“海陆空地”齐头并进，山东绘就立体化交通网“蓝图”
体育_NBA	争议！林书豪被问是否支持好友王力宏？瞬间脸黑，被直接拉走
政务_政策	红包、火锅、年夜饭，高校为留校学生“花式送温暖”
科技_手机	三星：Galaxy S22系列和Galaxy Tab S8系列今日全球上市
时尚_美容	别“土”了！拒绝红血丝霸占你的脸
娱乐_电影	欧洲电影奖将剔除俄罗斯影片 乌克兰名导谢尔盖·洛兹尼察发声反对
时尚_时装	王子异油画感复古大片
娱乐_电影	日本导演榊英雄被曝对女演员实施性暴力 新片《蜜月》取消上映
体育_国际足球	120分钟中国女足2-2绝平日本 双方进入点球大战
科技_数码	AMD明天发布新版显卡驱动 RSR功能将上线
科技_手机	vivo首款折叠机最新爆料：已在计划中 最快上半年公布
汽车_试驾	《皮卡卡报告》：这么多小姐姐来打卡少女心？可恶，又双叒被TA装到了
政务_反腐	内蒙古煤炭领域巡视怎样发现问题：盯重点 倒查20年
汽车_行业	特斯拉：乌克兰国籍员工回国打仗，至少可得三个月以上工资
体育_国际足球	英超放逐阿布 俄资“让道”美资
科技_车科技	蔚来回应赴港上市方式：有助于吸引更多投资者 现在不缺钱
娱乐_电视	《人世间》演员聚餐吃烤全羊 萨日娜徒手撕肉太豪爽
娱乐_电视	凤娱指数｜《Tinder诈骗王》：全球女性必看的“杀猪盘”纪实片
政务_反腐	“放贷入股乐此不疲”的市监局原局长受审，涉案超两千万
汽车_行业	乌克兰危机对汽车业影响 不只是停产
体育_NBA	自杀式输球啊！五连败！詹姆斯里程悲+被隔扣！唉，威少…
时尚_美容	什么祛痘面膜好用 祛痘祛痘印面膜排行榜前十名
科技_5G	奥迪计划在2024年为其车辆带来5G连接功能
娱乐_音乐	国家版权局：各唱片公司等除特殊情况外不得签署独家版权协议
娱乐_电影	想看艺术电影，我们从来都很难
时尚_美容	痘痘居然可以被“吃掉”！痘博士有3种饮食祛痘法
娱乐_电影	《神奇动物：邓布利多之谜》曝“夙命之战”预告 魔法世界战火升级
汽车_行业	马斯克当选美国国家工程院院士
娱乐_电影	电影《神秘海域》今日震撼公映 久违嗨爽大片全面圈粉引爆口碑
娱乐_明星	我25岁，和绝症「擦肩而过」
娱乐_电视	今年韩剧第一高分出现，它会是下一部“请回答”？
娱乐_明星	潘长江回应虚假宣传卖酒：供应商给多少卖多少 没做过虚假宣传
娱乐_电视	是安《我们的婚姻》剧情升级 夫妻多年隐忍矛盾终爆发
时尚_情感	到底什么样的女人，才敢爱上陈凯歌式文艺渣男？
科技_手机	曝iPhone 15 Pro将成第一款无刘海苹果手机：首发屏下摄像头
体育_CBA	山东高速104-98力克青岛送对手5连败 陶汉林23+17 哈德森28+8
娱乐_音乐	在他面前，都是社交水货
体育_NBA	耻辱！威少状态低迷 赛后朝记者爆粗并直言球迷要求太苛刻
汽车_行业	中信证券：宁德时代无惧短期调整
汽车_行业	雷诺日产联盟2026年将年产150万辆电动车
时尚_时装	杨幂港风复古大片
娱乐_明星	陈美琪被逼宫，王艳宛若保姆，七位嫁入豪门却婚姻不幸的女星
科技_数码	家电大实话：电动牙刷真的比手动牙刷强吗？
体育_CBA	辽粤战赛后付豪拒谈火爆冲突，杨鸣：韩德君鼻骨骨折
时尚_情感	陈凯歌，好大的腕儿啊
时尚_时装	赵小棠银发飒爽大片
体育_中国足球	中国女足有多拼？受伤+担架进场 回防一幕羞臊国足
娱乐_电影	迪士尼公司发表声明：暂停旗下影片在俄罗斯上映
科技_手机	iPhone 14 CAD渲染图曝光：依然小刘海、后摄更激凸
汽车_新车	问界M5正式上市，售价24.98万起，预计3月启动交付
科技_区块链	元宇宙冰墩墩火了！NFT盲盒价格暴涨近1000倍：全球只有500个
娱乐_音乐	《当爱》广西站精彩落幕 “江湖酒吧”3.0北京收官演出不见不散！
时尚_情感	靠贵妇团出圈的《三十而已》，竟让渣男天团抢了风头？
科技_手机	全球智能手机收益份额最新排名：小米第三 华为未进前五
科技_数码	苹果iOS 15.4/iPadOS 15.4开发者预览版Beta 4发布：AirTag反跟踪警告来了
时尚_时装	lululemon首次推出七夕限定胶囊系列，启发爱侣开启健康新生活
汽车_试驾	被埋没的“宝藏中大SUV” 试驾星途凌云400T
体育_NBA	哈登KD缺阵！勇士双杀篮网迎5连胜 欧文空砍32+7+7
汽车_新车	马自达CX-5预售17.98万元起 订车即享五重豪礼
科技_数码	索尼被发现向美国运输大量主机原型机 玩家猜测是PS5 Pro
科技_数码	realme首款国行平板曝光：年中亮相 不止一款
娱乐_电影	好点了，好点了，稍微好一点了
体育_NBA	狂野西部！勇士重返榜首，黑马力压湖人快船，火箭大逆转获胜
娱乐_音乐	北京音乐角热闹登场，音乐盛宴贺中秋
政务_文旅	保定：京南小镇集群兴起 平原旅游现“高地”
政务_反腐	天津紧盯公务用餐 强化对餐饮浪费日常监督
科技_车科技	集度汽车CEO谈电动汽车里程焦虑：不是靠超充就能完全解决
体育_CBA	收视率破1.2！辽篮复仇广东，郭艾伦请吃海鲜大餐，高诗岩吐槽
娱乐_明星	潘长江称灌醉茅台董事长拿便宜酒？茅台称不属实，潘长江回应了
娱乐_电视	《明星大侦探》前导演何忱离职创业 疑获腾讯方投资
时尚_美容	芦荟胶什么牌子好 真正好用的芦荟胶十大排名
娱乐_音乐	受疫情影响 韩国MBC《偶像运动会》今年将停播
汽车_试驾	豪华纯电SUV应是怎样？奥迪e-tron二次作答
汽车_行业	工信部发布2022年汽车标准化工作要点
体育_国际足球	中国女足的收入 究竟是少了还是多了？
科技_数码	三星暂停向俄罗斯出口手机、芯片等所有产品
